side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct
SELL,2022-08-22 19:00:00,2022-08-22 23:00:00,21023.94,21322.54334827252,STOP,-1.4203015622786288
BUY,2022-08-31 03:00:00,2022-08-31 15:00:00,20335.19,20035.137992286785,STOP,-1.4755308788027712
SELL,2022-09-13 13:00:00,2022-09-13 18:00:00,21398.32,20503.07955016085,TAKE_PROFIT,4.183695027643048
BUY,2022-10-16 20:00:00,2022-10-16 20:00:00,19375.39,19277.0114404714,STOP,-0.5077500867265072
SELL,2022-10-18 19:00:00,2022-10-18 20:00:00,19220.87,19402.765437083046,STOP,-0.9463434125668974
SELL,2022-12-25 21:00:00,2022-12-25 21:00:00,16769.01,16821.822943062947,STOP,-0.3149437150013553
SELL,2023-01-18 17:00:00,2023-01-19 19:00:00,20849.89,21090.95,TREND_REVERSAL,-1.1561691692378295
BUY,2023-01-25 22:00:00,2023-01-25 22:00:00,23592.56,23272.943559803392,STOP,-1.3547340356307618
BUY,2023-02-17 20:00:00,2023-02-17 22:00:00,24524.49,24115.77926950047,STOP,-1.6665412022820185
SELL,2023-02-23 12:00:00,2023-02-23 13:00:00,23780.21,24091.7106773237,STOP,-1.3099155866314893
SELL,2023-03-24 22:00:00,2023-03-25 15:00:00,27335.13,27752.511338437478,STOP,-1.5269045306807651
SELL,2023-05-10 18:00:00,2023-05-10 20:00:00,27498.73,27883.11746027232,STOP,-1.397837137468963
SELL,2023-05-16 02:00:00,2023-05-16 08:00:00,27024.64,27272.213952938517,STOP,-0.9161045362251535
SELL,2023-05-18 18:00:00,2023-05-18 19:00:00,26489.0,26785.88903453984,STOP,-1.120801217636904
SELL,2023-07-14 18:00:00,2023-07-14 18:00:00,30688.63,30070.510675219022,TAKE_PROFIT,2.0141639583812596
BUY,2023-07-26 19:00:00,2023-07-26 19:00:00,29377.5,29227.270558392753,STOP,-0.5113758543349409
BUY,2023-08-14 04:00:00,2023-08-14 14:00:00,29399.91,29587.514881975323,TAKE_PROFIT,0.6381137968630626
BUY,2023-09-10 22:00:00,2023-09-11 00:00:00,25902.82,25777.777101765714,STOP,-0.4827385521510226
SELL,2023-09-11 12:00:00,2023-09-11 13:00:00,25601.27,25750.24969929808,STOP,-0.5819230815427554
BUY,2023-09-15 23:00:00,2023-09-16 00:00:00,26776.32,26580.65181443155,STOP,-0.7307508483930989
BUY,2023-09-28 15:00:00,2023-09-28 16:00:00,26793.36,27191.194093216065,TAKE_PROFIT,1.4848234533334548
SELL,2023-11-05 22:00:00,2023-11-05 22:00:00,34645.92,34926.213657424705,STOP,-0.8090235659053271
BUY,2023-11-07 19:00:00,2023-11-08 23:00:00,35377.0,35997.69774638946,TAKE_PROFIT,1.754523408964746
SELL,2023-11-21 15:00:00,2023-11-21 15:00:00,36635.97,36966.7440229607,STOP,-0.9028668354098462
SELL,2023-12-07 11:00:00,2023-12-07 15:00:00,43134.23,43578.20166562137,STOP,-1.0292792188972981
SELL,2024-01-03 12:00:00,2024-01-03 12:00:00,43702.89,42435.17583017065,TAKE_PROFIT,2.9007559221583494
BUY,2024-01-04 21:00:00,2024-01-05 01:00:00,44113.68,43438.52700898674,STOP,-1.5304844007873737
SELL,2024-01-09 22:00:00,2024-01-10 17:00:00,45439.44,46395.296163423955,STOP,-2.1035826221096743
SELL,2024-02-13 15:00:00,2024-02-13 20:00:00,48692.17,49309.06932781158,STOP,-1.266937431237058
SELL,2024-04-01 06:00:00,2024-04-01 07:00:00,69167.47,69753.28589176331,STOP,-0.8469528981807658
SELL,2024-04-09 08:00:00,2024-04-09 14:00:00,70383.98,68853.43877808172,TAKE_PROFIT,2.1745590714226113
SELL,2024-05-14 10:00:00,2024-05-15 09:00:00,61797.84,62396.876019635456,STOP,-0.9693478277484449
BUY,2024-05-15 13:00:00,2024-05-15 18:00:00,63757.57,65278.84897950812,TAKE_PROFIT,2.386036637701404
BUY,2024-05-17 15:00:00,2024-05-19 18:00:00,66806.67,66586.21,TREND_REVERSAL,-0.3299969898215131
BUY,2024-06-12 13:00:00,2024-06-12 18:00:00,69339.29,68661.7415198443,STOP,-0.9771494345495731
SELL,2024-08-15 19:00:00,2024-08-15 20:00:00,57872.82,56093.244287192545,TAKE_PROFIT,3.074976669198865
SELL,2024-08-19 00:00:00,2024-08-19 13:00:00,58427.35,58966.84757873425,STOP,-0.9233647918898398
SELL,2024-09-05 10:00:00,2024-09-06 07:00:00,56797.0,55525.20565053281,TAKE_PROFIT,2.239192826147847
BUY,2024-09-17 11:00:00,2024-09-17 14:00:00,59235.99,60341.713735960286,TAKE_PROFIT,1.8666417763259933
BUY,2024-12-31 14:00:00,2024-12-31 17:00:00,95587.12,94476.14958333992,STOP,-1.1622595352387137
SELL,2025-01-07 15:00:00,2025-01-07 15:00:00,99979.69,98371.50401153491,TAKE_PROFIT,1.608512677389869
BUY,2025-01-20 07:00:00,2025-01-20 15:00:00,107482.36,104892.25893464031,STOP,-2.409791769886416
SELL,2025-01-20 18:00:00,2025-01-21 16:00:00,102963.31,106300.27874838776,STOP,-3.240929947170273
SELL,2025-03-10 17:00:00,2025-03-11 08:00:00,79009.01,80865.2492545847,STOP,-2.349401991728172
BUY,2025-03-25 20:00:00,2025-03-25 22:00:00,88116.23,87326.64608625745,STOP,-0.8960709210352623
BUY,2025-05-18 23:00:00,2025-05-19 01:00:00,105928.11,104915.4968068214,STOP,-0.9559437935582988
BUY,2025-08-10 04:00:00,2025-08-10 06:00:00,118500.0,117883.76474061482,STOP,-0.5200297547554287
BUY,2025-09-30 20:00:00,2025-10-01 08:00:00,114359.99,115897.04123029942,TAKE_PROFIT,1.344046314011935
BUY,2025-10-21 15:00:00,2025-10-21 20:00:00,112170.52,110752.41068158901,STOP,-1.264244222466823
SELL,2025-11-12 16:00:00,2025-11-13 05:00:00,102173.51,103340.87243430199,STOP,-1.142529442613835
SELL,2025-11-13 17:00:00,2025-11-14 04:00:00,100633.13,97876.89731608628,TAKE_PROFIT,2.7388919373905236
BUY,2025-11-23 04:00:00,2025-11-24 09:00:00,86308.54,85944.91,TREND_REVERSAL,-0.4213140437782752
SELL,2025-12-15 15:00:00,2025-12-15 16:00:00,88050.0,86450.75580981403,TAKE_PROFIT,1.8162909598932095
BUY,2025-12-18 14:00:00,2025-12-18 14:00:00,88851.7,87876.4356524402,STOP,-1.0976316126307113
SELL,2026-01-15 21:00:00,2026-01-19 00:00:00,95260.68,93226.04835059232,TAKE_PROFIT,2.135856734811965
SELL,2026-01-25 07:00:00,2026-01-25 08:00:00,88831.36,88158.43318754145,TAKE_PROFIT,0.7575329393342065
SELL,2026-02-03 17:00:00,2026-02-03 18:00:00,76488.08,74040.26334079498,TAKE_PROFIT,3.2002589935647823
SELL,2026-02-23 18:00:00,2026-02-24 04:00:00,64813.27,63121.04853903757,TAKE_PROFIT,2.610918197712333
SELL,2026-03-08 23:00:00,2026-03-09 03:00:00,66236.8,67021.14325924982,STOP,-1.1841502899442813
BUY,2026-04-04 16:00:00,2026-04-05 01:00:00,67383.66,67087.94090827965,STOP,-0.4388587555504631
SELL,2026-04-05 07:00:00,2026-04-05 10:00:00,66802.24,67086.65160388954,STOP,-0.425751597385851
BUY,2026-04-05 18:00:00,2026-04-05 22:00:00,67373.64,68105.23125981537,TAKE_PROFIT,1.085871655168648
BUY,2026-04-13 15:00:00,2026-04-13 15:00:00,72400.15,71791.36854415474,STOP,-0.8408566223208819
BUY,2026-05-05 03:00:00,2026-05-06 10:00:00,80554.69,82094.59397240738,TAKE_PROFIT,1.9116254713504337
SELL,2026-05-12 14:00:00,2026-05-13 01:00:00,80466.91,80997.13867275232,STOP,-0.6589400198818582
BUY,2026-06-14 22:00:00,2026-06-15 11:00:00,65311.59,66301.86763833559,TAKE_PROFIT,1.516235691606338
SELL,2026-06-30 13:00:00,2026-06-30 14:00:00,58411.99,58980.057347981936,STOP,-0.9725183955929904
