side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,signal_time,entry_year,entry_regime,entry_adx,adx_band,entry_atr,atr_ratio,atr_band,signal_close,signal_ema200,signal_ema200_lag
SELL,2017-09-02 06:00:00,2017-09-02 06:00:00,4493.0,4625.052720318601,STOP,-2.939076793202785,2017-09-02 05:00:00,2017,NEUTRAL,37.40273059914684,35-40,88.03514687906772,1.6523336829081632,1.20+,4473.35,4498.11673056067,4349.229730417497
BUY,2017-09-23 11:00:00,2017-09-24 04:00:00,3779.0,3697.009811206232,STOP,-2.1696265888798116,2017-09-23 10:00:00,2017,BEAR,25.394133233839717,25-30,54.66012586251214,0.884848171348129,0.80-1.00,3770.01,3796.7475491436353,3887.6441835538053
BUY,2017-09-30 07:00:00,2017-10-02 01:00:00,4280.0,4522.105781314491,TAKE_PROFIT,5.656677133516139,2017-09-30 06:00:00,2017,BULL,25.140540853836676,25-30,80.70192710483026,1.1364276097129509,1.00-1.20,4280.0,3991.4833106052283,3879.078547682387
SELL,2017-10-22 03:00:00,2017-10-23 05:00:00,5912.06,6024.453066262832,STOP,-1.9010812857588009,2017-10-22 02:00:00,2017,BULL,30.90039967079127,30-35,74.92871084188812,1.0820066636871537,1.00-1.20,5912.03,5637.201306800424,5428.315285237269
SELL,2017-11-21 04:00:00,2017-11-21 05:00:00,7894.41,8037.691111697629,STOP,-1.8149692212290605,2017-11-21 03:00:00,2017,BULL,32.536593619315475,30-35,95.52074113175286,1.2419127158580332,1.20+,7894.41,7522.151309400397,7199.72542684754
SELL,2017-11-24 00:00:00,2017-11-24 03:00:00,8019.97,8127.709334912408,STOP,-1.3433882534773531,2017-11-23 23:00:00,2017,BULL,30.136173189819896,30-35,71.82622327493817,0.848840462177254,0.80-1.00,8019.99,7847.694568537798,7634.668155294467
SELL,2017-12-03 22:00:00,2017-12-04 00:00:00,10899.98,11262.332214231534,STOP,-3.324338340359654,2017-12-03 21:00:00,2017,BULL,33.932136149375445,30-35,241.5681428210223,1.1436801888905916,1.00-1.20,10899.98,10065.242632692316,9385.512518180725
SELL,2017-12-08 13:00:00,2017-12-08 23:00:00,14794.48,15972.19194066582,STOP,-7.960482157303401,2017-12-08 12:00:00,2017,BULL,25.291427187774584,25-30,785.1412937772135,1.685477171598624,1.20+,14785.6,12321.639076815103,10807.070285988677
SELL,2017-12-18 01:00:00,2017-12-18 02:00:00,17810.0,18486.749964710507,STOP,-3.7998313571617452,2017-12-18 00:00:00,2017,BULL,26.34191288761226,25-30,451.16664314033744,1.3988501083895446,1.20+,17849.98,16804.191886293138,15565.44929341803
SELL,2018-01-11 04:00:00,2018-01-11 04:00:00,12911.92,11438.77212902357,TAKE_PROFIT,11.409208475396614,2018-01-11 03:00:00,2018,BEAR,27.94131856284998,25-30,491.049290325477,1.0848540108435276,1.00-1.20,12920.0,14932.226624910536,15294.640779912266
