entry_year,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
2017,9,1,8,11.11111111111111,-19.596116863856473,-2.1773463182062747,5.656677133516139,-3.1565992496715762,0.22400203059133494,-18.660215313368344,6,81.60524925849685
2018,19,6,13,31.57894736842105,9.406319557578271,0.4950694503988564,5.507254980108922,-1.8182469479288663,1.3979454186433995,-15.692097204395916,6,108.28459872601307
2019,22,9,13,40.909090909090914,3.7541728414299915,0.1706442200649996,2.1732191278270454,-1.2157537930010318,1.237533724283927,-4.6349079733241645,3,103.46796867720701
2020,23,9,14,39.130434782608695,7.43797924842988,0.32339040210564696,3.0328748914517645,-1.4184210553311432,1.3745603112939355,-8.405561189984601,4,106.9849058819148
2021,16,6,10,37.5,-5.797990151520935,-0.36237438447005843,2.8565814206823066,-2.293747867561477,0.7472263524026782,-15.319826287307404,6,93.83938867434051
2022,17,4,13,23.52941176470588,-5.898540750609548,-0.34697298532997345,3.2991434415210152,-1.468854962822585,0.691096864307735,-9.513013289398241,4,93.89001099941743
2023,19,4,15,21.052631578947366,-9.60534075488565,-0.5055442502571396,1.4729061543856306,-1.033131024828545,0.38017924644942147,-9.985454041148712,8,90.71569021903508
2024,15,6,9,40.0,4.532086971392114,0.3021391314261409,2.440360483825845,-1.1233417701736619,1.4482742762834502,-5.629278854798936,4,104.37718530522481
2025,14,4,10,28.57142857142857,-6.790145610937958,-0.4850104007812827,1.8769354721713845,-1.4297887499623496,0.5250944860828733,-10.93440690750157,6,93.23206227580837
2026,13,7,6,53.84615384615385,8.697224002872382,0.6690172309901832,1.8883285262212437,-0.7535126134460542,2.9237067939484986,-2.036676033951723,3,108.90820993028433
