side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,year
BUY,2020-04-01 23:00:00,2020-04-02 14:00:00,6520.76,6765.763677108198,TAKE_PROFIT,3.7572871430354398,2020
SELL,2020-07-05 10:00:00,2020-07-05 21:00:00,9019.58,8914.291617672878,TAKE_PROFIT,1.1673313206060842,2020
BUY,2020-07-11 00:00:00,2020-07-11 09:00:00,9288.34,9229.077119095364,STOP,-0.6380352237820365,2020
SELL,2020-12-11 01:00:00,2020-12-12 00:00:00,18018.31,18269.128425524916,STOP,-1.3920197039839715,2020
BUY,2021-02-11 14:00:00,2021-02-12 14:00:00,47555.46,46386.24560661383,STOP,-2.4586333375519156,2021
SELL,2021-08-05 09:00:00,2021-08-05 12:00:00,38482.86,37391.006162568614,TAKE_PROFIT,2.837247121007603,2021
BUY,2021-12-26 23:00:00,2021-12-27 17:00:00,50973.65,52082.66657305967,TAKE_PROFIT,2.1756663944207855,2021
SELL,2022-04-10 23:00:00,2022-04-11 10:00:00,42111.93,41257.67944284304,TAKE_PROFIT,2.0285238818476463,2022
SELL,2022-05-27 18:00:00,2022-05-27 19:00:00,28388.13,28900.052133550642,STOP,-1.8032964254800892,2022
SELL,2022-08-22 19:00:00,2022-08-22 23:00:00,21023.94,21322.54349854658,STOP,-1.4203022770545448,2022
SELL,2022-12-25 21:00:00,2022-12-25 21:00:00,16769.01,16821.822943062947,STOP,-0.3149437150013553,2022
BUY,2023-02-17 20:00:00,2023-02-17 22:00:00,24524.49,24115.77926950047,STOP,-1.6665412022820185,2023
BUY,2023-09-15 23:00:00,2023-09-16 00:00:00,26776.32,26580.65181443155,STOP,-0.7307508483930989,2023
BUY,2023-11-07 19:00:00,2023-11-08 23:00:00,35377.0,35997.69774638946,TAKE_PROFIT,1.754523408964746,2023
BUY,2024-01-04 21:00:00,2024-01-05 01:00:00,44113.68,43438.52700898674,STOP,-1.5304844007873737,2024
BUY,2024-05-17 15:00:00,2024-05-19 18:00:00,66806.67,66586.21,TREND_REVERSAL,-0.3299969898215131,2024
SELL,2024-08-15 19:00:00,2024-08-15 20:00:00,57872.82,56093.244287192545,TAKE_PROFIT,3.074976669198865,2024
SELL,2024-09-05 10:00:00,2024-09-06 07:00:00,56797.0,55525.20565053281,TAKE_PROFIT,2.239192826147847,2024
BUY,2024-09-17 11:00:00,2024-09-17 14:00:00,59235.99,60341.713735960286,TAKE_PROFIT,1.8666417763259933,2024
BUY,2025-03-25 20:00:00,2025-03-25 22:00:00,88116.23,87326.64608625745,STOP,-0.8960709210352623,2025
BUY,2025-08-10 04:00:00,2025-08-10 06:00:00,118500.0,117883.76474061482,STOP,-0.5200297547554287,2025
SELL,2025-11-12 16:00:00,2025-11-13 05:00:00,102173.51,103340.87243430199,STOP,-1.142529442613835,2025
SELL,2026-02-03 17:00:00,2026-02-03 18:00:00,76488.08,74040.26334079498,TAKE_PROFIT,3.2002589935647823,2026
BUY,2026-04-13 15:00:00,2026-04-13 15:00:00,72400.15,71791.36854415474,STOP,-0.8408566223208819,2026
SELL,2026-06-30 13:00:00,2026-06-30 14:00:00,58411.99,58980.057347981936,STOP,-0.9725183955929904,2026
