removed_year,trades,wins,win_rate,pnl,pf,expectancy,median_trade,dd,loss_streak,ending_equity,market
2020,23,14,60.86956521739131,12.435652752958633,1.769261823443591,0.5406805544764623,0.34190313437710035,-6.941516553290716,3,112.36817500412585,BINANCE_SAME
2021,22,13,59.09090909090909,18.834076849667774,2.35019321527992,0.8560944022576261,0.4713868782663687,-6.941516553290706,3,119.70015316140535,BINANCE_SAME
2022,22,13,59.09090909090909,9.170180651943634,1.6649995194514315,0.4168263932701652,0.21647508767413068,-7.411181714761206,3,108.99672332144927,BINANCE_SAME
2023,20,12,60.0,18.811220060160714,2.3653560395134607,0.9405610030080357,0.8342307960369748,-6.941516553290706,3,119.65750530337027,BINANCE_SAME
2024,21,13,61.904761904761905,12.499281991777837,1.7634834747204091,0.5952039043703732,0.34190313437710035,-8.831995438347807,3,112.38160346387862,BINANCE_SAME
2025,20,13,65.0,18.422413360862556,2.899509688937779,0.9211206680431279,0.4713868782663687,-5.521549438750572,2,119.41381905788907,BINANCE_SAME
2026,22,12,54.54545454545454,10.556668869564561,1.6302335534331924,0.4798485849802073,0.04909495998998468,-6.941516553290716,3,110.23444105063466,BINANCE_SAME
2020,22,11,50.0,12.18215125163357,1.6985417095252051,0.553734147801526,0.1343029658197919,-7.033678427127976,3,111.98262881261009,BYBIT_SAME
2021,22,11,50.0,10.21993249557687,1.6664960354040597,0.46454238616258503,0.1343029658197919,-7.033678427127976,3,109.97425267636103,BYBIT_SAME
2022,23,12,52.17391304347826,15.626109271618105,2.0424766354603583,0.6793960552877437,0.32698925257269895,-7.033678427127976,3,115.95095123065884,BYBIT_SAME
2023,19,10,52.63157894736842,14.913382047867067,2.009519240017002,0.7849148446245825,0.9939633638634472,-7.033678427127987,3,115.11266066548629,BYBIT_SAME
2024,18,9,50.0,2.2244779597439566,1.13567100084195,0.12358210887466425,0.11094432084832576,-11.812069027794681,3,101.69836775237984,BYBIT_SAME
2025,19,10,52.63157894736842,14.42706425644479,2.336039540914011,0.759319171391831,0.32698925257269895,-6.550790720300004,2,114.76670745517441,BYBIT_SAME
2026,21,9,42.857142857142854,6.4241222531673685,1.3579700097077312,0.3059105834841604,-0.10510061087604745,-7.033678427127976,3,105.79709704133282,BYBIT_SAME
