year,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
2017,1,1,0,100.0,5.656677133516139,5.656677133516139,5.656677133516139,0.0,inf,0.0,0,105.65667713351614
2018,4,1,3,25.0,3.435208759303861,0.8588021898259652,11.409208475396614,-2.657999905364251,1.43080121414741,-7.791750347324489,3,102.72848108706343
2019,2,1,1,50.0,3.014377081077089,1.5071885405385446,3.632176666789,-0.6177995857119108,5.879215122171898,-0.617799585711909,1,102.99193750867735
2020,3,3,0,100.0,12.324765997812147,4.108255332604049,4.108255332604049,0.0,inf,0.0,0,112.73630072318318
2021,1,1,0,100.0,2.1756663944207855,2.1756663944207855,2.1756663944207855,0.0,inf,0.0,0,102.1756663944208
2022,3,1,2,33.33333333333333,-1.1950748206869877,-0.3983582735623292,2.0285238818476463,-1.611799351267317,0.6292730792615934,-3.197986442341494,2,98.765665520785
2023,2,1,1,50.0,0.08798220668272738,0.04399110334136369,1.754523408964746,-1.6665412022820185,1.052793298216841,-1.6665412022820236,1,100.05874235116863
2024,2,2,0,100.0,4.941618445524858,2.470809222762429,2.470809222762429,0.0,inf,0.0,0,104.9990172446444
2025,3,0,3,0.0,-2.558630118404526,-0.852876706134842,0.0,-0.852876706134842,0.0,-2.537844155825042,3,97.46215584417496
2026,1,0,1,0.0,-0.8408566223208819,-0.8408566223208819,0.0,-0.8408566223208819,0.0,-0.8408566223208847,1,99.15914337767911
