signal,tolerance_hours,binance_signals,bybit_signals,matched_pairs,match_coverage_pct,binance_unmatched,bybit_unmatched
Base_Buy,0,45,45,34,75.55555555555556,11,11
Base_Buy,1,45,45,37,82.22222222222221,8,8
Base_Buy,2,45,45,37,82.22222222222221,8,8
Base_Buy,3,45,45,37,82.22222222222221,8,8
Base_Buy,6,45,45,37,82.22222222222221,8,8
Base_Sell,0,68,69,43,62.31884057971014,25,26
Base_Sell,1,68,69,46,66.66666666666666,22,23
Base_Sell,2,68,69,46,66.66666666666666,22,23
Base_Sell,3,68,69,46,66.66666666666666,22,23
Base_Sell,6,68,69,48,69.56521739130434,20,21
V15A_Buy,0,25,24,18,72.0,7,6
V15A_Buy,1,25,24,20,80.0,5,4
V15A_Buy,2,25,24,20,80.0,5,4
V15A_Buy,3,25,24,20,80.0,5,4
V15A_Buy,6,25,24,20,80.0,5,4
V15A_Sell,0,24,27,16,59.25925925925925,8,11
V15A_Sell,1,24,27,17,62.96296296296296,7,10
V15A_Sell,2,24,27,17,62.96296296296296,7,10
V15A_Sell,3,24,27,17,62.96296296296296,7,10
V15A_Sell,6,24,27,17,62.96296296296296,7,10
V15B_Buy,0,13,13,9,69.23076923076923,4,4
V15B_Buy,1,13,13,10,76.92307692307693,3,3
V15B_Buy,2,13,13,10,76.92307692307693,3,3
V15B_Buy,3,13,13,10,76.92307692307693,3,3
V15B_Buy,6,13,13,10,76.92307692307693,3,3
V15B_Sell,0,12,16,7,43.75,5,9
V15B_Sell,1,12,16,7,43.75,5,9
V15B_Sell,2,12,16,7,43.75,5,9
V15B_Sell,3,12,16,7,43.75,5,9
V15B_Sell,6,12,16,7,43.75,5,9
