removed_top_winners,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
0,32,18,14,56.25,16.27784014349335,16.385192174801986,116.38519217480199,1.705230004502227,0.5086825044841672,0.36985895960435394,-7.369868100918464,3,1.3262900035017322,1.09184960940574,2.2232680355242715,24.0,FULL_AVAILABLE,FULL_COST,BTC,BINANCE_SPOT
1,31,17,14,54.83870967741935,9.510322471486857,9.00805292892666,109.00805292892666,1.4120303861114674,0.30678459585441475,0.36248902961573154,-9.356030100658897,3,1.1628485532682673,0.7074629949270325,0.9628071769769391,24.0,FULL_AVAILABLE,FULL_COST,BTC,BINANCE_SPOT
2,30,16,14,53.333333333333336,4.322245305136446,3.6315672512343014,103.6315672512343,1.1872593076925833,0.1440748435045482,0.27719608199641593,-9.356030100658884,3,1.0388518942310105,0.34667815392073176,0.3881525831109237,24.0,FULL_AVAILABLE,FULL_COST,BTC,BINANCE_SPOT
3,29,15,14,51.724137931034484,-0.4650626160261149,-1.1029395571435003,98.8970604428565,0.9798513741440681,-0.016036641931934995,0.19190313437710035,-11.740729914017455,3,0.9145279492011302,-0.04039800848641509,-0.09394131073798762,24.0,FULL_AVAILABLE,FULL_COST,BTC,BINANCE_SPOT
0,24,12,12,50.0,9.069539922675286,8.558914431751788,108.55891443175179,1.4593107261511666,0.37789749677813694,-0.01569703418020811,-7.675826515985895,3,1.4593107261511669,0.6800665732739266,1.1150479253181074,24.0,FULL_AVAILABLE,FULL_COST,BTC,BYBIT_PERPETUAL
1,23,11,12,47.82608695652174,1.883323117884283,1.280666178806129,101.28066617880613,1.0953775512570374,0.08188361382105579,-0.20838332093311518,-10.998333374367796,3,1.194957328644041,0.16670796818560563,0.11644184034199127,24.0,FULL_AVAILABLE,FULL_COST,BTC,BYBIT_PERPETUAL
2,22,10,12,45.45454545454545,-3.0284398552374725,-3.4610959642780017,96.538904035722,0.846630047293077,-0.13765635705624876,-0.23174196590458132,-13.456697845120901,3,1.0159560567516923,-0.2993614664152807,-0.2572024730073669,24.0,FULL_AVAILABLE,FULL_COST,BTC,BYBIT_PERPETUAL
3,21,9,12,42.857142857142854,-6.507822122156995,-6.707112160077401,93.2928878399226,0.6704229178023351,-0.30989629153128545,-0.25510061087604746,-13.456697845120901,3,0.8938972237364468,-0.6930218955148159,-0.49842184444300724,24.0,FULL_AVAILABLE,FULL_COST,BTC,BYBIT_PERPETUAL
0,27,15,12,55.55555555555556,10.377589051462348,9.864961506679677,109.86496150667968,1.4544616531804684,0.38435515005416104,0.20324000236281228,-9.88152186981136,4,1.1635693225443746,0.7340199652550293,0.9983241080321569,24.0,FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL
1,26,14,12,53.84615384615385,3.1316258278691302,2.4420483572199743,102.44204835721997,1.1371420513780612,0.12044714722573578,0.18033129304938864,-13.321033996362253,4,0.9746931868954811,0.2562678327661449,0.18332273289647455,24.0,FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL
2,25,13,12,52.0,-1.730647875720926,-2.308003880605554,97.69199611939445,0.924210422018728,-0.06922591502883704,0.157422583735965,-13.321033996362253,4,0.853117312632672,-0.15466263615737613,-0.17326011488566356,24.0,FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL
3,24,12,12,50.0,-5.225699411796179,-5.607084909424927,94.39291509057507,0.7711530123295409,-0.21773747549150746,-0.022026885031112428,-16.24820248200557,4,0.7711530123295409,-0.4946193831005196,-0.34508955163714977,24.0,FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL
0,16,9,7,56.25,15.169061580058042,14.474081364604572,114.47408136460457,1.682157763054137,0.9480663487536276,1.0924241297387263,-8.32202942941047,2,1.3083449268198843,0.8249598205919044,1.7392490001840706,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
1,15,8,7,53.333333333333336,7.780180097165903,6.597703397107452,106.59770339710745,1.3498772961814756,0.5186786731443935,1.0658738799095562,-10.586276043773458,2,1.1811426341587912,0.4551414964221618,0.6232317549463516,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2,14,7,7,50.0,1.746053052914423,0.5315046849216429,100.53150468492164,1.0785205886642193,0.12471807520817306,0.1808672292155561,-10.586276043773458,2,1.0785205886642193,0.10857781523641884,0.05020695499757525,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
3,13,6,7,46.15384615384615,-4.145400978647172,-5.061739302439264,94.93826069756074,0.8135799341553227,-0.31887699835747474,-0.704139421478444,-12.362577084919234,2,0.9491765898478766,-0.27863308236132867,-0.40944046436838316,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
0,13,6,7,46.15384615384615,8.177733389697064,7.702991432271176,107.70299143227118,1.5531892458241787,0.6290564145920818,-0.3792598858443928,-13.190399551810705,6,1.8120541201282085,0.6433787734525004,0.5839846929590357,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
